!	1.0 ! #1
!!	1.0 ! ! #1
!!!	1.0 ! ! !
"	1.0 " #1
""OPTICARE	1.0 " " O P T I C A R E
"EDEEMED	1.0 " E D E E M E D
"PRODUCT	1.0 " P R O D U C T #1
"PRODUCT(S)"	1.0 " P R O D U C T ( S ) "
$.20	1.0 $ . 2 0
$0.00	1.0 $ 0 . 0 0
$0.20	1.0 $ 0 . 2 0
$0.37	1.0 $ 0 . 3 7
$0.40	1.0 $ 0 . 4 0
$0.46	1.0 $ 0 . 4 6
$0.48	1.0 $ 0 . 4 8
$0.49	1.0 $ 0 . 4 9
$0.50	1.0 $ 0 . 5 0
$0.52	1.0 $ 0 . 5 2
$0.56	1.0 $ 0 . 5 6
$0.58	1.0 $ 0 . 5 8
$0.60	1.0 $ 0 . 6 0
$0.61	1.0 $ 0 . 6 1
$0.63	1.0 $ 0 . 6 3
$0.65	1.0 $ 0 . 6 5
$0.80	1.0 $ 0 . 8 0
$0.90	1.0 $ 0 . 9 0
$1.10	1.0 $ 1 . 1 0
$1.30	1.0 $ 1 . 3 0
$1.60	1.0 $ 1 . 6 0
$1.80	1.0 $ 1 . 8 0
$10.30	1.0 $ 1 0 . 3 0
$10.70	1.0 $ 1 0 . 7 0
$11.20	1.0 $ 1 1 . 2 0
$11.40	1.0 $ 1 1 . 4 0
$2.00	1.0 $ 2 . 0 0
$2.20	1.0 $ 2 . 2 0
$2.50	1.0 $ 2 . 5 0
$2.70	1.0 $ 2 . 7 0
$3.00	1.0 $ 3 . 0 0
$3.30	1.0 $ 3 . 3 0
$3.70	1.0 $ 3 . 7 0
$4.40	1.0 $ 4 . 4 0
$4.80	1.0 $ 4 . 8 0
$5.50	1.0 $ 5 . 5 0
$6.00	1.0 $ 6 . 0 0
$6.60	1.0 $ 6 . 6 0
$7.00	1.0 $ 7 . 0 0
$7.10	1.0 $ 7 . 1 0
$7.60	1.0 $ 7 . 6 0
$8.10	1.0 $ 8 . 1 0
$8.20	1.0 $ 8 . 2 0
$8.40	1.0 $ 8 . 4 0
$8.60	1.0 $ 8 . 6 0
$8.70	1.0 $ 8 . 7 0
$8.90	1.0 $ 8 . 9 0
$9.20	1.0 $ 9 . 2 0
$9.90	1.0 $ 9 . 9 0
%	1.0 %
&	1.0 & #1
&F	1.0 & F
&SOUR	1.0 & S O U R
&WAX	1.0 & W A X
'	1.0 ' #1
'1	1.0 ' 1
'CLIPSAL'	1.0 ' C L I P S A L '
'ENERGIZER'	1.0 ' E N E R G I Z E R '
'WOODSHEER'	1.0 ' W O O D S H E E R '
'XINGHUA'SPRING	1.0 ' X I N G H U A ' S P R I N G
'zTAKE	1.0 ' z T A K E
(	1.0 ( #1
(%)	1.0 ( % )
((@6%)	1.0 ( ( @ 6 % )
()	1.0 ( )
(*)	1.0 ( * )
(+0603)	1.0 ( + 0 6 0 3 )
(+603)	1.0 ( + 6 0 3 )
(0%)	1.0 ( 0 % ) #1
(0%):	1.0 ( 0 % ) :
(0.01)	1.0 ( 0 . 0 1 )
(0.02)	1.0 ( 0 . 0 2 )
(0005583085-K)	1.0 ( 0 0 0 5 5 8 3 0 8 5 - K )
(000760274-K)	1.0 ( 0 0 0 7 6 0 2 7 4 - K )
(001451637-M)	1.0 ( 0 0 1 4 5 1 6 3 7 - M )
(001610235-P)	1.0 ( 0 0 1 6 1 0 2 3 5 - P )
(001904043-H)	1.0 ( 0 0 1 9 0 4 0 4 3 - H )
(001910559-U)	1.0 ( 0 0 1 9 1 0 5 5 9 - U )
(001963477-M)	1.0 ( 0 0 1 9 6 3 4 7 7 - M )
(002022599	1.0 ( 0 0 2 0 2 2 5 9 9
(002049088-U)	1.0 ( 0 0 2 0 4 9 0 8 8 - U )
(002050590-H)	1.0 ( 0 0 2 0 5 0 5 9 0 - H )
(002107265-V)	1.0 ( 0 0 2 1 0 7 2 6 5 - V )
(002231061-T)	1.0 ( 0 0 2 2 3 1 0 6 1 - T )
(1	1.0 ( 1 #1
(1)	1.0 ( 1 )
(1-31)	1.0 ( 1 - 3 1 )
(10%)	1.0 ( 1 0 % ) #1
(10%):	1.0 ( 1 0 % ) :
(1035693-T)	1.0 ( 1 0 3 5 6 9 3 - T )
(1070687-M)	1.0 ( 1 0 7 0 6 8 7 - M )
(1072825-A)	1.0 ( 1 0 7 2 8 2 5 - A )
(1074617K)	1.0 ( 1 0 7 4 6 1 7 K )
(1079369-P)	1.0 ( 1 0 7 9 3 6 9 - P )
(1097826-H)	1.0 ( 1 0 9 7 8 2 6 - H )
(10A)	1.0 ( 1 0 A )
(10ROLL/PKT)	1.0 ( 1 0 R O L L / P K T )
(1113440A)	1.0 ( 1 1 1 3 4 4 0 A )
(1120908-M)	1.0 ( 1 1 2 0 9 0 8 - M )
(1122327-U)	1.0 ( 1 1 2 2 3 2 7 - U )
(1125830-V)	1.0 ( 1 1 2 5 8 3 0 - V )
(1135772-K)	1.0 ( 1 1 3 5 7 7 2 - K )
(1143655-H)	1.0 ( 1 1 4 3 6 5 5 - H )
(1168272-U)	1.0 ( 1 1 6 8 2 7 2 - U )
(1179227A)	1.0 ( 1 1 7 9 2 2 7 A )
(11900)	1.0 ( 1 1 9 0 0 )
(1191015-W)	1.0 ( 1 1 9 1 0 1 5 - W )
(12	1.0 ( 1 2 #1
(12'S)	1.0 ( 1 2 ' S )
(1206674-T)	1.0 ( 1 2 0 6 6 7 4 - T )
